	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 0.12}	0.6976744186046511	standard	True	dict1	0.98
2	{'C': 0.05}	0.7021276595744681	standard	True	dict2	0.98
3	{'C': 0.05}	0.6888888888888889	standard	True	dict3	0.98
4	{'C': 0.05}	0.6813186813186813	standard	True	dict4	0.98
5	{'C': 1}	0.8095238095238095	normalize	True	dict1	0.98
6	{'C': 4}	0.7294117647058823	normalize	True	dict2	0.98
7	{'C': 4}	0.7160493827160495	normalize	True	dict3	0.98
8	{'C': 0.12}	0.7628865979381443	normalize	True	dict4	0.98
9	{'C': 0.12}	0.6976744186046511	standard	False	dict1	0.98
10	{'C': 0.05}	0.7021276595744681	standard	False	dict2	0.98
11	{'C': 0.05}	0.6813186813186813	standard	False	dict3	0.98
12	{'C': 0.05}	0.6739130434782609	standard	False	dict4	0.98
13	{'C': 1}	0.8095238095238095	normalize	False	dict1	0.98
14	{'C': 4}	0.7294117647058823	normalize	False	dict2	0.98
15	{'C': 4}	0.7317073170731707	normalize	False	dict3	0.98
16	{'C': 0.25}	0.7872340425531914	normalize	False	dict4	0.98
17	{'C': 0.05}	0.7272727272727273	standard	True	dict1	0.8
18	{'C': 0.05}	0.7222222222222221	standard	True	dict2	0.8
19	{'C': 0.12}	0.7307692307692307	standard	True	dict3	0.8
20	{'C': 0.05}	0.6666666666666666	standard	True	dict1	0.8
21	{'C': 1}	0.5773195876288659	normalize	True	dict1	0.8
22	{'C': 2}	0.6206896551724138	normalize	True	dict2	0.8
23	{'C': 2}	0.6444444444444445	normalize	True	dict3	0.8
24	{'C': 2}	0.6593406593406594	normalize	True	dict1	0.8
25	{'C': 0.05}	0.7142857142857142	standard	False	dict1	0.8
26	{'C': 0.05}	0.7358490566037735	standard	False	dict2	0.8
27	{'C': 0.12}	0.7289719626168225	standard	False	dict3	0.8
28	{'C': 0.05}	0.6554621848739496	standard	False	dict1	0.8
29	{'C': 1}	0.5714285714285715	normalize	False	dict1	0.8
30	{'C': 2}	0.6136363636363638	normalize	False	dict2	0.8
31	{'C': 2}	0.6373626373626374	normalize	False	dict3	0.8
32	{'C': 2}	0.6666666666666666	normalize	False	dict1	0.8
33	{'C': 2}	0.7441860465116279	standard	True	dict1	0.95
34	{'C': 0.05}	0.6804123711340206	standard	True	dict2	0.95
35	{'C': 0.05}	0.6666666666666667	standard	True	dict3	0.95
36	{'C': 0.05}	0.6732673267326732	standard	True	dict1	0.95
37	{'C': 0.05}	0.5897435897435899	normalize	True	dict1	0.95
38	{'C': 4}	0.6493506493506495	normalize	True	dict2	0.95
39	{'C': 4}	0.6172839506172839	normalize	True	dict3	0.95
40	{'C': 0.5}	0.547945205479452	normalize	True	dict1	0.95
41	{'C': 4}	0.7654320987654322	standard	False	dict1	0.95
42	{'C': 0.12}	0.6804123711340206	standard	False	dict2	0.95
43	{'C': 0.05}	0.6599999999999999	standard	False	dict3	0.95
44	{'C': 0.05}	0.6799999999999999	standard	False	dict1	0.95
45	{'C': 0.05}	0.575	normalize	False	dict1	0.95
46	{'C': 1}	0.64	normalize	False	dict2	0.95
47	{'C': 2}	0.6499999999999999	normalize	False	dict3	0.95
48	{'C': 1}	0.5866666666666668	normalize	False	dict1	0.95
