	best_parameter	f1	is_norm_dataset	remove_stop	dict	sim
1	{'C': 4}	0.21296296296296297	standard	True	dict1	0.98
2	{'C': 4}	0.21296296296296297	standard	True	dict2	0.98
3	{'C': 4}	0.21296296296296297	standard	True	dict3	0.98
4	{'C': 0.12}	0.2211981566820276	standard	True	dict4	0.98
5	{'C': 0.05}	0.20754716981132076	normalize	True	dict1	0.98
6	{'C': 0.05}	0.20754716981132076	normalize	True	dict2	0.98
7	{'C': 0.05}	0.20754716981132076	normalize	True	dict3	0.98
8	{'C': 0.05}	0.20754716981132076	normalize	True	dict4	0.98
9	{'C': 0.12}	0.2211981566820276	standard	False	dict1	0.98
10	{'C': 0.12}	0.2211981566820276	standard	False	dict2	0.98
11	{'C': 0.12}	0.2211981566820276	standard	False	dict3	0.98
12	{'C': 0.12}	0.2211981566820276	standard	False	dict4	0.98
13	{'C': 0.05}	0.20754716981132076	normalize	False	dict1	0.98
14	{'C': 0.05}	0.20754716981132076	normalize	False	dict2	0.98
15	{'C': 0.05}	0.20754716981132076	normalize	False	dict3	0.98
16	{'C': 0.05}	0.20754716981132076	normalize	False	dict4	0.98
