	min	max	num_feat	weighting	best_parameter	f1
1	1	1	500	stopwords	{'C': 1}	0.6187050359712231
2	2	2	2500	stopwords	{'C': 4}	0.5269841269841271
3	2	2	1000	tf_idf	{'C': 0.25}	0.5918367346938774
4	1	2	1000	tf_idf	{'C': 4}	0.5878594249201278
5	1	3	2000	tf_idf	{'C': 0.12}	0.5942492012779553
6	1	2	2000	stopwords	{'C': 2}	0.5679012345679012
7	1	1	3500	tf	{'C': 2}	0.5454545454545455
8	2	2	2000	tf	{'C': 4}	0.44274809160305345
9	1	2	1200	tf	{'C': 4}	0.4802110817941953
10	1	3	3500	tf	{'C': 4}	0.41255605381165916
11	2	3	2500	tf	{'C': 4}	0.34548944337811904
12	2	2	1500	tf_stop	{'C': 4}	0.514792899408284
13	1	2	2000	tf_stop	{'C': 2}	0.5679012345679012
14	1	3	3000	tf_stop	{'C': 4}	0.4541062801932367
15	1	1	1700	tf_stop	{'C': 2}	0.6332046332046332
