	best_parameter	f1	is_norm_dataset	dict	sim
1	{'C': 0.12}	0.3859649122807018	standard	dict5	0.98
2	{'C': 0.5}	0.42857142857142855	standard	dict6	0.98
3	{'C': 0.05}	0.47398843930635837	standard	dict7	0.98
4	{'C': 0.05}	0.29478458049886624	standard	dict8	0.98
5	{'C': 1}	0.5163204747774481	normalize	dict5	0.98
6	{'C': 0.5}	0.48753462603878117	normalize	dict6	0.98
7	{'C': 4}	0.49710982658959535	normalize	dict7	0.98
8	{'C': 4}	0.43902439024390244	normalize	dict8	0.98
9	{'C': 0.12}	0.3946188340807175	standard	dict5	0.98
10	{'C': 0.5}	0.44255319148936173	standard	dict6	0.98
11	{'C': 0.12}	0.4726224783861672	standard	dict7	0.98
12	{'C': 0.05}	0.29478458049886624	standard	dict8	0.98
13	{'C': 1}	0.514792899408284	normalize	dict5	0.98
14	{'C': 1}	0.5	normalize	dict6	0.98
15	{'C': 4}	0.4942528735632184	normalize	dict7	0.98
16	{'C': 4}	0.43902439024390244	normalize	dict8	0.98
17	{'C': 0.25}	0.43776824034334766	standard	dict5	0.95
18	{'C': 0.25}	0.4461538461538461	standard	dict6	0.95
19	{'C': 0.05}	0.4375	standard	dict7	0.95
20	{'C': 0.05}	0.44931506849315067	standard	dict8	0.95
21	{'C': 1}	0.4738292011019284	normalize	dict5	0.95
22	{'C': 0.25}	0.49025069637883006	normalize	dict6	0.95
23	{'C': 1}	0.47745358090185674	normalize	dict7	0.95
24	{'C': 0.5}	0.4563106796116505	normalize	dict8	0.95
25	{'C': 0.05}	0.43089430894308944	standard	dict5	0.95
26	{'C': 0.5}	0.42519685039370075	standard	dict6	0.95
27	{'C': 0.05}	0.4408945686900958	standard	dict7	0.95
28	{'C': 0.05}	0.44686648501362397	standard	dict8	0.95
29	{'C': 1}	0.47154471544715443	normalize	dict5	0.95
30	{'C': 0.25}	0.46632124352331616	normalize	dict6	0.95
31	{'C': 2}	0.48753462603878117	normalize	dict7	0.95
32	{'C': 0.5}	0.44976076555023925	normalize	dict8	0.95
