	best_parameter	f1	is_norm_dataset	remove	dict	sim
1	{'C': 0.5}	0.32978723404255317	standard	True	dict5	0.98
2	{'C': 4}	0.47257383966244726	standard	True	dict6	0.98
3	{'C': 0.25}	0.4983606557377049	standard	True	dict7	0.98
4	{'C': 0.25}	0.25190839694656486	standard	True	dict8	0.98
5	{'C': 2}	0.47787610619469034	normalize	True	dict5	0.98
6	{'C': 0.5}	0.5169230769230769	normalize	True	dict6	0.98
7	{'C': 1}	0.5141242937853108	normalize	True	dict7	0.98
8	{'C': 2}	0.24908424908424906	normalize	True	dict8	0.98
9	{'C': 2}	0.3278688524590164	standard	False	dict5	0.98
10	{'C': 4}	0.4721030042918455	standard	False	dict6	0.98
11	{'C': 0.12}	0.4983606557377049	standard	False	dict7	0.98
12	{'C': 0.25}	0.25190839694656486	standard	False	dict8	0.98
13	{'C': 4}	0.4797507788161994	normalize	False	dict5	0.98
14	{'C': 0.25}	0.46315789473684205	normalize	False	dict6	0.98
15	{'C': 1}	0.515759312320917	normalize	False	dict7	0.98
16	{'C': 2}	0.24908424908424906	normalize	False	dict8	0.98
17	{'C': 0.05}	0.3612334801762115	standard	True	dict5	0.95
18	{'C': 0.12}	0.44274809160305345	standard	True	dict6	0.95
19	{'C': 0.05}	0.5067567567567567	standard	True	dict7	0.95
20	{'C': 0.05}	0.4309392265193371	standard	True	dict8	0.95
21	{'C': 0.5}	0.4795640326975476	normalize	True	dict5	0.95
22	{'C': 1}	0.5454545454545455	normalize	True	dict6	0.95
23	{'C': 2}	0.5129682997118156	normalize	True	dict7	0.95
24	{'C': 0.12}	0.43961352657004826	normalize	True	dict8	0.95
25	{'C': 0.5}	0.3535353535353536	standard	False	dict5	0.95
26	{'C': 2}	0.46341463414634143	standard	False	dict6	0.95
27	{'C': 0.05}	0.5170068027210885	standard	False	dict7	0.95
28	{'C': 0.05}	0.4309392265193371	standard	False	dict8	0.95
29	{'C': 0.5}	0.4795640326975476	normalize	False	dict5	0.95
30	{'C': 0.25}	0.46997389033942555	normalize	False	dict6	0.95
31	{'C': 2}	0.5144508670520231	normalize	False	dict7	0.95
32	{'C': 0.12}	0.43961352657004826	normalize	False	dict8	0.95
