	num_feats	tol	fuzzy	remove_stop	svm	compress	f1
121	1000	0.99	True	False	False	False	0.19087136929460582
122	1500	0.99	True	False	False	False	0.18794688457609804
123	2000	0.99	True	False	False	False	0.1978723404255319
124	2500	0.99	True	False	False	False	0.19724284199363734
125	3000	0.99	True	False	False	False	0.21016949152542372
126	4000	0.99	True	False	False	False	0.21545667447306788
127	4500	0.99	True	False	False	False	0.21261682242990654
128	5000	0.99	True	False	False	False	0.21818181818181817
129	5500	0.99	True	False	False	False	0.22698612862547288
130	6000	0.99	True	False	False	False	0.22929936305732485
131	1000	0.99	True	True	False	False	0.19254658385093165
132	1500	0.99	True	True	False	False	0.18794688457609804
133	2000	0.99	True	True	False	False	0.19829424307036245
134	2500	0.99	True	True	False	False	0.1978723404255319
135	3000	0.99	True	True	False	False	0.20969560315670802
136	4000	0.99	True	True	False	False	0.21495327102803738
137	4500	0.99	True	True	False	False	0.21187427240977882
138	5000	0.99	True	True	False	False	0.21634615384615385
139	5500	0.99	True	True	False	False	0.22641509433962265
140	6000	0.99	True	True	False	False	0.22842639593908629
