	tol	num_feats	remove_stop	fuzzy	svm	compress	f1	best
1	0.99	5000	False	Fuzzy	True	True	0.31428571428571433	{'C': 0.05}
2	0.99	7000	False	Fuzzy	True	True	0.26521060842433697	{'C': 0.05}
3	0.99	8000	False	Fuzzy	True	True	0.2814569536423841	{'C': 0.05}
4	0.99	8500	False	Fuzzy	True	True	0.2748815165876778	{'C': 0.12}
5	0.99	9000	False	Fuzzy	True	True	0.26256077795786065	{'C': 0.05}
6	0.99	10000	False	Fuzzy	True	True	0.28231292517006806	{'C': 2}
7	0.99	11000	False	Fuzzy	True	True	0.2893772893772894	{'C': 0.05}
8	0.99	12000	False	Fuzzy	True	True	0.27759197324414714	{'C': 0.05}
9	0.99	13000	False	Fuzzy	True	True	0.2996108949416343	{'C': 0.05}
10	0.99	15000	False	Fuzzy	True	True	0.29389312977099236	{'C': 0.05}
11	0.99	5000	True	Fuzzy	True	True	0.3247232472324723	{'C': 0.05}
12	0.99	7000	True	Fuzzy	True	True	0.27001569858712715	{'C': 0.12}
13	0.99	8000	True	Fuzzy	True	True	0.2814569536423841	{'C': 0.05}
14	0.99	8500	True	Fuzzy	True	True	0.27156549520766776	{'C': 0.05}
15	0.99	9000	True	Fuzzy	True	True	0.26384364820846906	{'C': 0.05}
16	0.99	10000	True	Fuzzy	True	True	0.255054432348367	{'C': 0.05}
17	0.99	11000	True	Fuzzy	True	True	0.2946593001841621	{'C': 0.05}
18	0.99	12000	True	Fuzzy	True	True	0.2739273927392739	{'C': 0.05}
19	0.99	13000	True	Fuzzy	True	True	0.30374753451676534	{'C': 0.05}
20	0.99	15000	True	Fuzzy	True	True	0.2895238095238095	{'C': 0.05}
21	0.99	5000	False	No-fuzzy	True	True	0.31428571428571433	{'C': 0.05}
22	0.99	7000	False	No-fuzzy	True	True	0.26521060842433697	{'C': 0.05}
23	0.99	8000	False	No-fuzzy	True	True	0.2814569536423841	{'C': 0.05}
24	0.99	8500	False	No-fuzzy	True	True	0.27531645569620256	{'C': 0.05}
25	0.99	9000	False	No-fuzzy	True	True	0.2682119205298013	{'C': 0.05}
26	0.99	10000	False	No-fuzzy	True	True	0.2586750788643533	{'C': 1}
27	0.99	11000	False	No-fuzzy	True	True	0.2893772893772894	{'C': 0.05}
28	0.99	12000	False	No-fuzzy	True	True	0.27759197324414714	{'C': 0.05}
29	0.99	13000	False	No-fuzzy	True	True	0.3001949317738791	{'C': 0.12}
30	0.99	15000	False	No-fuzzy	True	True	0.29389312977099236	{'C': 0.05}
31	0.99	5000	True	No-fuzzy	True	True	0.3247232472324723	{'C': 0.05}
32	0.99	7000	True	No-fuzzy	True	True	0.27001569858712715	{'C': 0.12}
33	0.99	8000	True	No-fuzzy	True	True	0.2814569536423841	{'C': 0.05}
34	0.99	8500	True	No-fuzzy	True	True	0.27199999999999996	{'C': 0.05}
35	0.99	9000	True	No-fuzzy	True	True	0.26384364820846906	{'C': 0.05}
36	0.99	10000	True	No-fuzzy	True	True	0.255054432348367	{'C': 0.05}
37	0.99	11000	True	No-fuzzy	True	True	0.2946593001841621	{'C': 0.05}
38	0.99	12000	True	No-fuzzy	True	True	0.2739273927392739	{'C': 0.05}
39	0.99	13000	True	No-fuzzy	True	True	0.30314960629921256	{'C': 0.05}
40	0.99	15000	True	No-fuzzy	True	True	0.2900763358778626	{'C': 0.05}
